genotype,food,no_fly,tube_w,tube_p_fly,fly_total,fly_per,BCA,mBCA,TAG,GLC,Glycogen,NADH,NAD,NADPH,NADP,NADH_BCA,NAD_BCA,NADPH_BCA,NADP_BCA,TAG_BCA,Glc_BCA,Glc_TAG,Gly_BCA,Block
2O,V,15,1.0221,1.0326,10.5,0.7,1650.211,1531.35,449.939,617.681,1452.809,0.675,9.976,0.254,0.476,0.000440787540406,0.0065145133379,0.000165866718908,0.000310836843308,0.293818526137,0.403357168511,1.37281053654,0.948711267836,3
2O,V,15,1.0092,1.0192,10.0,0.666666666667,1372.869,1300.2315,445.962,613.543,1280.899,0.724,9.202,0.297,0.41,0.000556823919433,0.00707720125224,0.000228420861977,0.000315328462662,0.342986614307,0.47187212431,1.3757741691,0.985131493892,3
2O,V,15,1.0092,1.0192,10.0,0.666666666667,1227.594,1300.2315,398.243,592.856,1356.18,0.685,8.672,0.288,0.395,0.000526829260789,0.00666958153221,0.000221499017675,0.000303792055492,0.306286226722,0.455961880634,1.48867902261,1.04302964511,3
22,IV,15,1.0097,1.0216,11.9,0.793333333333,1399.282,1306.8345,354.5,603.199,667.416,1.379,15.211,0.88,0.621,0.0010552216061,0.0116395763962,0.000673382895845,0.000475194066272,0.271266177928,0.46157260158,1.70154866008,0.510711953197,3
22,IV,15,1.0097,1.0216,11.9,0.793333333333,1214.387,1306.8345,270.992,578.374,664.045,1.297,14.104,0.815,0.6,0.000992474563535,0.0107924913216,0.000623644386493,0.000459124701712,0.207365201944,0.442576317047,2.13428440692,0.508132437581,3
22,IV,15,1.0264,1.0383,11.9,0.793333333333,1412.489,1333.2485,278.945,495.625,687.64,1.322,14.814,0.772,0.64,0.000991563088201,0.0111112069505,0.000579036841219,0.000480030541943,0.209222061754,0.37174240211,1.77678395383,0.515762815409,3
22,IV,15,1.0264,1.0383,11.9,0.793333333333,1254.008,1333.2485,223.272,464.594,700.0,1.288,13.517,0.726,0.632,0.000966061465661,0.0101383950554,0.000544534646017,0.000474030160169,0.167464654939,0.348467671256,2.08084309721,0.52503340525,3
22,V,15,1.0428,1.0548,12.0,0.8,1306.835,1207.784,517.541,762.493,1422.472,0.918,11.87,0.449,0.378,0.000760069681334,0.00982791624993,0.000371755214509,0.000312969868784,0.42850460016,0.631315698834,1.47329969993,1.17775363807,3
22,V,15,1.0428,1.0548,12.0,0.8,1108.733,1207.784,410.173,665.262,1551.685,0.936,10.879,0.423,0.376,0.000774973008419,0.00900740529764,0.000350228186497,0.000311313943553,0.339607910024,0.550812065734,1.62190587874,1.28473717155,3
22,V,15,1.0414,1.053,11.6,0.773333333333,1372.869,1306.835,418.126,671.468,1474.157,0.886,11.097,0.388,0.436,0.000677973883467,0.00849150810929,0.000296900526845,0.000333630488929,0.319953169298,0.513812378762,1.60589870039,1.12803605658,3
22,V,15,1.0414,1.053,11.6,0.773333333333,1240.801,1306.835,322.687,636.299,1533.708,0.857,10.299,0.363,0.42,0.000655782864707,0.00788087248964,0.00027777033826,0.000321387168235,0.246922526562,0.486900794668,1.97187677223,1.173604931,3
